Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
PREFIX,uni-,one / single,unicycle,a cycle with one wheel,"If 'uni-' means one, what does 'uniform' literally suggest?",2
PREFIX,up-,upward / better (business),upsell,to persuade a customer to purchase a higher-value product or add-on,How does an 'upsell' strategy differ from 'cross-selling' in revenue generation?,2
PREFIX,vaso-,vessel / duct,vasodilation,the widening of blood vessels,"How does 'vaso-' connect 'vasoconstriction,' 'vasopressin,' and 'cardiovascular'?",6
PREFIX,vice versa-,the position being reversed (Latin),vice versa liability,reciprocal liability running in both directions,How does 'vice versa' capture the symmetry of mutual obligations in bilateral contracts?,2
PREFIX,vice-,in place of / deputy,vice president,one who acts in place of the president,How does 'vice-' define the role of a 'viceroy'?,3
PREFIX,xantho-,yellow,xanthophyll,a yellow pigment found in plant leaves,How does 'xantho-' connect 'xanthoderma' (yellow skin) and 'xanthoma'?,8
PREFIX,xeno-,foreign / strange,xenotransplantation,the transplanting of organs from one species to another,How does 'xeno-' shape the meaning of 'xenophobia' and 'xenobiotic' (a foreign chemical in biology)?,5
PREFIX,xero-,dry,xerophyte,a plant adapted to survive in dry conditions,How does 'xero-' connect 'xerography' (dry writing — the principle of photocopying) and 'xerostomia'?,7
PREFIX,xylo-,wood,xylophagous,feeding on wood,How does 'xylo-' connect 'xylophone' (wooden sound) and 'xylem' (the wood of a plant's vascular system)?,7
PREFIX,zygo-,yoke / joined / paired,zygote,a fertilized egg cell formed by the joining of two gametes,How does 'zygo-' shape the meaning of 'zygomorphic' (bilaterally symmetrical — yoked on both sides)?,8
SUFFIX,-ability / -ibility,quality of being capable of (legal),enforceability,the quality of a contract or judgment being capable of being enforced,How does '-ability' convert a verb like 'enforce' into a noun describing a legal quality?,2
SUFFIX,-able / -ible,capable of / worthy of,manageable,able to be managed,What does adding '-able' to a verb do to its meaning? Use 'readable' as an example.,1
SUFFIX,-acy,state or quality of,democracy,a state of rule by the people,What quality or state does '-acy' name in 'accuracy'?,2
SUFFIX,-age,action / result / collection,storage,the act or result of storing,How does '-age' shape the meaning of 'marriage' (the state of being wed)?,1
SUFFIX,-age (business),charge / fee / service,brokerage,the fee charged by a broker for executing transactions on behalf of a client,How does 'brokerage' as a fee structure differ from a commission or a retainer?,2
SUFFIX,-agogue,leading / inducing,demagogue,a leader who manipulates the people,How does '-agogue' (leading) shape the meaning of 'pedagogue' (child-leader / teacher)?,7
SUFFIX,-al,relating to / process of,theatrical,relating to the theatre,How does '-al' change 'nature' into 'natural'? What part of speech does it create?,1
SUFFIX,-algia,pain,neuralgia,sharp nerve pain,How does '-algia' connect 'myalgia' (muscle pain) and 'analgesic' (against pain)?,6
SUFFIX,-alization,process of making / converting,capitalization,the process of converting earnings or assets into capital or providing a company with capital,How does market 'capitalization' measure a company's value relative to book value?,3
SUFFIX,-ance / -ence,state / quality / action,brilliance,the quality of being brilliant,What does '-ance' add to 'perform' in 'performance'?,1
SUFFIX,-ant / -ent,one who / causing,assistant,one who assists,What does '-ant' tell you about the role of an 'accountant'?,1
SUFFIX,-archy,rule / government,oligarchy,rule by a small group,"How does '-archy' connect 'anarchy' (no rule), 'monarchy,' and 'patriarchy'?",4
SUFFIX,-ary (legal),relating to / connected with,fiduciary,a person holding a position of trust and relating to that duty,How does '-ary' connect 'fiduciary' (relating to trust) and 'testamentary' (relating to a will)?,2
SUFFIX,-ary / -ery / -ory,relating to / place for,laboratory,a place for scientific work,How does '-ory' shape the meaning of 'dormitory' (a place to sleep)?,2
SUFFIX,-ase,enzyme (biochemistry),protease,an enzyme that breaks down proteins,How does '-ase' identify 'lipase' and 'amylase' as enzymes in biochemistry?,6
SUFFIX,-ate,to make / having / caused by,activate,to make active,How does '-ate' function differently as a verb in 'celebrate' vs. an adjective in 'fortunate'?,1
SUFFIX,-ate (legal),to act / to make / to appoint,adjudicate,to make a judicial decision,How does '-ate' function in 'arbitrate' (to act as arbitrator) and 'mandate' (to formally order)?,2
SUFFIX,-blast,immature cell / formative cell,osteoblast,a cell that forms bone,"How does '-blast' connect 'fibroblast,' 'neuroblast,' and 'blastocyst'?",7
SUFFIX,-cele,hernia / swelling / cavity,hydrocele,an accumulation of fluid in a body cavity,How does '-cele' shape the meaning of 'meningocele' (herniation of the meninges)?,8
SUFFIX,-cide,killing / killer of,homicide,the killing of a human,"What pattern do you notice in 'pesticide,' 'herbicide,' and 'insecticide'?",3
SUFFIX,-cide,killing / killer,bactericide,an agent that kills bacteria,"How does '-cide' connect 'spermicide,' 'acaricide' (mite killer), and 'virucide'?",3
SUFFIX,-clast,breaker / destroyer,osteoclast,a cell that breaks down bone,How does '-clast' contrast with '-blast' in bone remodeling biology?,8
SUFFIX,-cracy,rule / government by,technocracy,rule or governance by technical experts,How does '-cracy' differ from '-archy' in 'democracy' and 'monarchy'?,4
SUFFIX,-cy,state / condition,fluency,the condition of being fluent,What does '-cy' add to 'urgent' in 'urgency'?,2
SUFFIX,-cy (legal),state or condition of,insolvency,the state of being unable to pay debts as they fall due,How does '-cy' transform 'insolvent' into a noun describing a legal condition?,2
SUFFIX,-cyte,cell,erythrocyte,a red blood cell,"How does '-cyte' connect 'leukocyte,' 'adipocyte,' and 'osteocyte'?",7
SUFFIX,-derm,skin / layer,endoderm,the innermost layer of an embryo,"How does '-derm' connect 'ectoderm,' 'mesoderm,' and 'pachyderm' (thick skin)?",5
SUFFIX,-dom,state of / realm of / those who,freedom,the state of being free,"What does '-dom' create in 'kingdom'? Is it a place, a state, or both?",2
SUFFIX,-drome,running / racecourse,syndrome,a group of symptoms that run together,How does '-drome' connect 'palindrome' (running back again) and 'prodrome' (running before)?,5
SUFFIX,-ectomy,surgical removal,appendectomy,surgical removal of the appendix,How does '-ectomy' contrast with '-ostomy' (creating an opening) in surgery?,5
SUFFIX,-ee,one who receives the action,employee,one who is employed by another,How does '-ee' reverse the relationship in 'employer' vs. 'employee'?,2
SUFFIX,-ee (business),recipient / passive party,franchisee,the party who receives a license to operate a franchise,How do the obligations of the 'franchisee' to the franchisor typically restrict business independence?,2
SUFFIX,-ee (legal),one who receives the action,lessee,one who receives a lease from a lessor,How does '-ee' reverse the relationship in 'lessor/lessee' and 'mortgagor/mortgagee'?,2
SUFFIX,-emia,blood condition,leukemia,a cancer causing abnormal white blood cells,"How does '-emia' connect 'anemia' (lack of blood), 'uremia,' and 'hypoglycemia'?",6
SUFFIX,-ent (legal),one who / causing,respondent,the party who responds to an appeal or petition,"How does '-ent' connect 'respondent,' 'claimant,' and 'applicant' as parties in proceedings?",2
SUFFIX,-er / -or,one who / that which,conductor,one who conducts,How does '-or' tell you about the role of an 'inventor'?,1
SUFFIX,-er / -or (business),one who acts / doer,underwriter,one who assumes financial risk on behalf of another (especially in insurance or securities),How does an 'underwriter' manage risk differently in insurance versus investment banking?,1
SUFFIX,-esque,in the style of / resembling,picturesque,resembling a picture; visually charming,How does '-esque' shape the meaning of 'grotesque'?,3
SUFFIX,-ess,female,actress,a female actor,How has the use of '-ess' (as in 'actress' vs. 'actor') changed in modern English?,2
SUFFIX,-ette,small / female / imitation,kitchenette,a very small kitchen,What does '-ette' suggest about size in 'novelette' (a short novel)?,3
SUFFIX,-ful,full of / having,grateful,full of gratitude,How does '-ful' change the noun 'beauty' into 'beautiful'? What does it add?,1
SUFFIX,-ful,full of,joyful,full of joy,How does '-ful' shift the meaning of 'wonder' in 'wonderful'?,1
SUFFIX,-gamy,marriage / union / fertilization,bigamy,the crime of marrying while already married,"How does '-gamy' connect 'monogamy,' 'polygamy,' and 'allogamy' (cross-fertilization)?",6
SUFFIX,-genesis,origin / creation / development,morphogenesis,the development of form in an organism,"How does '-genesis' connect 'abiogenesis,' 'parthenogenesis,' and 'pathogenesis'?",5
SUFFIX,-genic,producing / generated by / suitable for,carcinogenic,producing or tending to produce cancer,How does '-genic' shape the meaning of 'photogenic' and 'iatrogenic' (caused by medical treatment)?,5
SUFFIX,-gnosis,knowledge / recognition,prognosis,foreknowledge of the likely outcome of a disease,How does '-gnosis' connect 'diagnosis' (knowledge through thorough examination) and 'agnostic'?,6
SUFFIX,-hood,state / condition / group,childhood,the state or period of being a child,What community or state does '-hood' create in 'neighborhood'?,2
SUFFIX,-ia,condition / place / things relating to,insomnia,a condition of not being able to sleep,What type of concept does '-ia' typically name? Think of 'bacteria' and 'phobia.',3
SUFFIX,-ian,relating to / one who,musician,one who practices music,How does '-ian' create a profession from 'magic' in 'magician'?,2
SUFFIX,-iasis,condition / abnormal process,psoriasis,a chronic skin condition with scaly patches,How does '-iasis' connect 'lithiasis' (stone formation) and 'helminthiasis' (worm infestation)?,8
SUFFIX,-iatrics / -iatry,healing / medical treatment,psychiatry,the medical treatment of mental illness,"How does '-iatry' connect 'podiatry,' 'pediatrics,' and 'geriatrics'?",6
SUFFIX,-ic,relating to / having the nature of,heroic,having the nature of a hero,How does '-ic' change 'history' into 'historic'? What part of speech is created?,1
SUFFIX,-ical,relating to,historical,relating to history,What is the subtle difference between 'historic' and 'historical'?,2
SUFFIX,-ify / -fy,to make / to cause to be,simplify,to make simple,What does the suffix '-ify' do to a word? What would 'intensify' mean?,1
SUFFIX,-ing (business),action / ongoing process,factoring,the sale of accounts receivable to a third party at a discount for immediate cash,How does 'factoring' receivables differ from using them as collateral for a loan?,1
SUFFIX,-ion,act / state / result,confusion,the state of being confused,What does '-ion' add to 'celebrate' in 'celebration'?,1
SUFFIX,-ious / -ous,having / full of,courageous,full of courage,How does '-ous' transform the noun 'danger' in 'dangerous'?,1
SUFFIX,-ish,somewhat / relating to / like,childish,resembling or acting like a child,How does '-ish' soften or qualify meaning in 'greenish' or 'coldish'?,1
SUFFIX,-ism,belief / practice / doctrine,optimism,a belief in positive outcomes,What kind of concept does '-ism' usually describe? Give your own example.,1
SUFFIX,-ism,system / belief / practice,capitalism,a system based on private capital,How does '-ism' turn 'real' into a belief system in 'realism'?,1
SUFFIX,-ist,one who practices or believes,scientist,one who practices science,"If '-ist' means 'one who,' what does 'cyclist' describe?",1
SUFFIX,-ist,one who,pianist,one who plays the piano,How does '-ist' define a person's role or belief in 'activist'?,1
SUFFIX,-itis,inflammation,appendicitis,inflammation of the appendix,"How does '-itis' connect 'tonsillitis,' 'arthritis,' and 'encephalitis' (brain inflammation)?",4
SUFFIX,-ity / -ty,state / quality,creativity,the quality of being creative,What does '-ity' add to 'secure' in 'security'?,1
